origin_zip3,destination_zip3,trailer_type,carrier_type,avg_rate,min_rate,max_rate,count
303,750,Van,Asset,1.7,1.295,2.05,2
303,750,Van,Broker,1.46,1.205,1.665,2
303,770,Flatbed,Asset,2.58,1.77,3.215,2
303,770,Flatbed,Broker,1.76,1.1300000000000001,2.48,2
303,770,Reefer,Asset,1.72,1.065,2.175,2
303,770,Reefer,Broker,1.82,1.51,2.26,2
303,770,Van,Asset,1.68,1.46,2.0700000000000003,2
303,770,Van,Broker,1.5350000000000001,1.29,1.79,2
303,850,Flatbed,Asset,2.495,1.58,3.0949999999999998,2
303,850,Flatbed,Broker,2.11,0.81,3.105,2
303,850,Reefer,Asset,1.6749999999999998,0.9249999999999999,2.3949999999999996,2
303,850,Reefer,Broker,1.33,1.19,1.47,2
303,850,Van,Asset,1.62,0.95,2.19,2
303,850,Van,Broker,1.455,1.19,2.11,2
303,981,Flatbed,Asset,0.0,0.0,0.0,2
303,981,Flatbed,Broker,1.455,0.8500000000000001,2.15,2
303,981,Reefer,Asset,1.995,1.4100000000000001,2.05,2
303,981,Reefer,Broker,1.5,1.28,1.8699999999999999,2
303,981,Van,Asset,2.145,1.45,4.18,2
303,981,Van,Broker,1.8250000000000002,1.29,2.165,2
331,100,Flatbed,Asset,0.0,0.0,0.0,2
331,100,Flatbed,Broker,1.76,1.185,2.35,2
331,100,Reefer,Asset,0.0,0.0,0.0,2
331,100,Reefer,Broker,2.09,1.54,2.74,2
331,100,Van,Asset,1.7349999999999999,1.28,2.3049999999999997,2
331,100,Van,Broker,1.785,1.38,2.04,2
331,303,Flatbed,Asset,1.94,1.22,2.855,2
331,303,Flatbed,Broker,1.2850000000000001,1.08,1.54,2
331,303,Reefer,Asset,1.54,0.77,2.76,2
331,303,Reefer,Broker,1.29,0.98,1.79,2
331,303,Van,Asset,1.48,0.74,2.51,2
331,303,Van,Broker,0.8,0.73,0.8800000000000001,2
331,336,Flatbed,Asset,2.7649999999999997,2.085,3.45,2
331,336,Flatbed,Broker,2.63,1.48,5.59,2
331,336,Reefer,Asset,3.83,2.675,6.449999999999999,2
331,336,Reefer,Broker,3.77,2.0,5.73,2
331,336,Van,Asset,2.76,1.3,3.79,2
331,336,Van,Broker,1.78,1.4,2.38,2
331,606,Flatbed,Asset,0.0,0.0,0.0,2
331,606,Flatbed,Broker,1.415,0.94,1.6400000000000001,2
331,606,Reefer,Asset,1.37,0.8,1.745,2
331,606,Reefer,Broker,1.145,0.8,1.91,2
331,606,Van,Asset,1.025,0.76,1.26,2
331,606,Van,Broker,1.19,0.81,3.62,2
331,750,Flatbed,Asset,1.8499999999999999,1.205,2.94,2
331,750,Flatbed,Broker,1.335,0.75,1.69,2
331,750,Reefer,Asset,1.245,0.94,1.345,2
331,750,Reefer,Broker,1.2850000000000001,1.02,1.865,2
331,750,Van,Asset,0.885,0.74,1.1,2
331,750,Van,Broker,0.97,0.8500000000000001,1.09,2
331,770,Flatbed,Asset,2.215,1.27,3.35,2
331,770,Flatbed,Broker,1.8399999999999999,0.8,3.005,2
331,770,Reefer,Asset,1.295,0.79,1.94,2
331,770,Reefer,Broker,1.295,0.9199999999999999,2.12,2
331,770,Van,Asset,0.8900000000000001,0.745,1.2349999999999999,2
331,770,Van,Broker,1.055,0.78,1.48,2
