pulled_at,endpoint_type,origin_zip3,destination_zip3,trailer_type,carrier_type,include_fuel,include_quartiles,average,minimum,maximum,quartile1,quartile2,quartile3,orders,contributors,days_window
2026-01-01T17:20:24+00:00,buy,770,750,Reefer,Broker,True,True,3.71,2.82,4.05,3.66,3.8,3.86,36,7,7
2026-01-01T17:20:25+00:00,sell,770,750,Reefer,Asset,True,True,2.99,2.54,3.31,2.97,3,3.05,19,6,14
2026-01-01T17:20:27+00:00,buy,606,303,Van,Broker,True,True,3.12,2.41,3.91,2.81,3.01,3.45,35,20,7
2026-01-01T17:20:28+00:00,sell,606,303,Van,Asset,True,True,2.76,2.34,3.36,2.46,2.65,3.03,10,8,7
2026-01-01T17:20:29+00:00,buy,606,303,Flatbed,Broker,True,True,2.53,1.81,2.94,2.42,2.49,2.81,13,6,28
2026-01-01T17:20:30+00:00,sell,606,303,Flatbed,Asset,True,True,2.8,2.13,3.75,2.66,2.75,2.91,10,7,28
2026-01-01T17:20:31+00:00,buy,606,303,Reefer,Broker,True,True,4.1,3.14,5.12,3.68,4.04,4.46,11,9,7
2026-01-01T17:20:32+00:00,sell,606,303,Reefer,Asset,True,True,3.45,2.73,4.63,3.07,3.36,3.63,9,6,14
2026-01-01T17:20:33+00:00,buy,303,606,Van,Broker,True,True,1.57,0.96,2.38,1.34,1.54,1.78,39,23,7
2026-01-01T17:20:34+00:00,sell,303,606,Van,Asset,True,True,1.74,1.28,2.03,1.7,1.73,1.87,12,6,7
2026-01-01T17:20:35+00:00,buy,303,606,Flatbed,Broker,True,True,2.45,1.6,2.99,2.28,2.48,2.81,15,7,14
2026-01-01T17:20:36+00:00,sell,303,606,Flatbed,Asset,True,True,2.67,1.99,3.15,2.66,2.73,2.8,6,5,28
2026-01-01T17:20:38+00:00,buy,303,606,Reefer,Broker,True,True,1.95,1.54,2.5,1.83,1.92,2.05,26,10,7
2026-01-01T17:20:39+00:00,sell,303,606,Reefer,Asset,True,True,1.97,1.38,2.41,1.56,2.07,2.26,9,7,14
2026-01-01T17:20:40+00:00,buy,100,770,Van,Broker,True,True,1.6,1.16,1.87,1.51,1.63,1.68,9,6,63
2026-01-01T17:20:41+00:00,sell,100,770,Van,Asset,True,True,1.71,1.37,2.42,1.49,1.5,1.97,9,5,364
2026-01-01T17:20:42+00:00,buy,100,770,Flatbed,Broker,True,True,1.92,1.21,2.96,1.81,1.86,1.98,25,7,364
2026-01-01T17:20:43+00:00,sell,100,770,Flatbed,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:20:44+00:00,buy,100,770,Reefer,Broker,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:20:45+00:00,sell,100,770,Reefer,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:20:46+00:00,buy,770,100,Van,Broker,True,True,2.08,1.37,2.41,1.98,2.09,2.28,15,11,63
2026-01-01T17:20:47+00:00,sell,770,100,Van,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:20:48+00:00,buy,770,100,Flatbed,Broker,True,True,2.06,1.07,2.63,1.75,2.09,2.53,10,6,63
2026-01-01T17:20:49+00:00,sell,770,100,Flatbed,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:20:51+00:00,buy,770,100,Reefer,Broker,True,True,2.48,2.21,3.56,2.24,2.3,2.56,17,5,182
2026-01-01T17:20:52+00:00,sell,770,100,Reefer,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:20:53+00:00,buy,750,100,Van,Broker,True,True,2.33,1.79,3.17,2.18,2.33,2.46,17,8,28
2026-01-01T17:20:54+00:00,sell,750,100,Van,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:20:55+00:00,buy,750,100,Flatbed,Broker,True,True,2.52,1.7,3.26,2.25,2.43,2.72,9,7,182
2026-01-01T17:20:57+00:00,sell,750,100,Flatbed,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:20:58+00:00,buy,750,100,Reefer,Broker,True,True,2.09,0.67,2.78,2,2.46,2.58,21,10,364
2026-01-01T17:20:59+00:00,sell,750,100,Reefer,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:21:00+00:00,buy,100,750,Van,Broker,True,True,2.62,1.75,6.72,1.87,1.94,3.14,16,10,28
2026-01-01T17:21:01+00:00,sell,100,750,Van,Asset,True,True,1.71,1.38,2.07,1.5,1.72,1.84,8,5,182
2026-01-01T17:21:02+00:00,buy,100,750,Flatbed,Broker,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:21:03+00:00,sell,100,750,Flatbed,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:21:04+00:00,buy,100,750,Reefer,Broker,True,True,1.73,1.1,2.19,1.56,1.82,1.92,18,5,63
2026-01-01T17:21:05+00:00,sell,100,750,Reefer,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:21:06+00:00,buy,900,981,Van,Broker,True,True,3.05,2.21,4.47,2.75,2.9,3.14,31,14,7
2026-01-01T17:21:08+00:00,sell,900,981,Van,Asset,True,True,3.6,3.06,4.06,3.43,3.5,4.03,12,5,28
2026-01-01T17:21:09+00:00,buy,900,981,Flatbed,Broker,True,True,2.01,1.17,2.75,1.82,1.91,2.22,16,5,7
2026-01-01T17:21:10+00:00,sell,900,981,Flatbed,Asset,True,True,2.76,2.04,5.04,2.59,2.68,2.8,22,6,91
2026-01-01T17:21:12+00:00,buy,900,981,Reefer,Broker,True,True,2.7,2.32,3.93,2.45,2.66,2.73,21,7,7
2026-01-01T17:21:13+00:00,sell,900,981,Reefer,Asset,True,True,2.77,2.26,3.38,2.42,2.83,2.97,15,10,63
2026-01-01T17:21:14+00:00,buy,981,900,Van,Broker,True,True,1.37,1.05,1.87,1.11,1.29,1.54,18,12,7
2026-01-01T17:21:15+00:00,sell,981,900,Van,Asset,True,True,1.63,0.97,2.86,1.33,1.59,1.81,16,6,28
2026-01-01T17:21:16+00:00,buy,981,900,Flatbed,Broker,True,True,2.87,1.67,3.91,2.64,3.04,3.39,9,7,28
2026-01-01T17:21:17+00:00,sell,981,900,Flatbed,Asset,True,True,4.09,2.42,7.14,3.4,3.4,3.78,24,5,63
2026-01-01T17:21:18+00:00,buy,981,900,Reefer,Broker,True,True,2.26,1.42,2.84,2,2.31,2.41,12,6,28
2026-01-01T17:21:20+00:00,sell,981,900,Reefer,Asset,True,True,1.91,1.03,3.12,1.47,1.95,2.09,6,5,364
2026-01-01T17:21:21+00:00,buy,606,981,Van,Broker,True,True,2.01,1.47,2.67,1.73,2.04,2.17,15,7,14
2026-01-01T17:21:22+00:00,sell,606,981,Van,Asset,True,True,2.27,1.78,3.52,1.94,2.08,2.2,13,6,364
2026-01-01T17:21:23+00:00,buy,606,981,Flatbed,Broker,True,True,1.96,1.48,2.18,2,2.01,2.15,5,5,91
2026-01-01T17:21:25+00:00,sell,606,981,Flatbed,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:21:26+00:00,buy,606,981,Reefer,Broker,True,True,2.22,2,2.56,2.05,2.13,2.37,8,5,7
2026-01-01T17:21:28+00:00,sell,606,981,Reefer,Asset,True,True,1.89,1.56,2.46,1.74,1.82,1.95,17,5,364
2026-01-01T17:21:29+00:00,buy,981,606,Van,Broker,True,True,1.72,1.19,2.17,1.27,1.88,2.08,15,5,14
2026-01-01T17:21:30+00:00,sell,981,606,Van,Asset,True,True,1.71,1.19,2.09,1.42,1.76,2.01,15,8,364
2026-01-01T17:21:31+00:00,buy,981,606,Flatbed,Broker,True,True,1.8,0.97,2.46,1.78,1.81,1.85,9,7,182
2026-01-01T17:21:32+00:00,sell,981,606,Flatbed,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:21:33+00:00,buy,981,606,Reefer,Broker,True,True,2.46,2.18,2.71,2.39,2.46,2.56,14,7,63
2026-01-01T17:21:34+00:00,sell,981,606,Reefer,Asset,True,True,2.01,1.61,2.69,1.82,1.94,2.04,6,6,364
2026-01-01T17:21:36+00:00,buy,100,981,Van,Broker,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:21:37+00:00,sell,100,981,Van,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:21:38+00:00,buy,100,981,Flatbed,Broker,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:21:39+00:00,sell,100,981,Flatbed,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:21:40+00:00,buy,100,981,Reefer,Broker,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:21:41+00:00,sell,100,981,Reefer,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:21:42+00:00,buy,981,100,Van,Broker,True,True,1.93,1.67,2.26,1.79,1.88,2.07,11,9,364
2026-01-01T17:21:43+00:00,sell,981,100,Van,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:21:44+00:00,buy,981,100,Flatbed,Broker,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:21:45+00:00,sell,981,100,Flatbed,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:21:46+00:00,buy,981,100,Reefer,Broker,True,True,2.52,2.22,2.8,2.41,2.54,2.59,22,6,364
2026-01-01T17:21:48+00:00,sell,981,100,Reefer,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:21:49+00:00,buy,303,981,Van,Broker,True,True,2.04,1.51,2.38,1.7,1.93,2.37,25,5,14
2026-01-01T17:21:50+00:00,sell,303,981,Van,Asset,True,True,2.35,1.69,4.63,2.35,2.36,2.38,213,7,364
2026-01-01T17:21:51+00:00,buy,303,981,Flatbed,Broker,True,True,1.68,1.08,2.38,1.21,1.74,2.01,6,5,63
2026-01-01T17:21:52+00:00,sell,303,981,Flatbed,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:21:53+00:00,buy,303,981,Reefer,Broker,True,True,1.72,1.5,2.09,1.56,1.7,1.82,8,5,14
